em_dim,layers,mul,lmax,r_max,New Loss Avg,New Loss Avg Log Scaled,R^2,Run Name,em_dim range
128,4,8,3,4.95,1254.157964,0.3761206953,0.1837634578,model_polarization_250621_153424,"[16,128]"
128,4,32,3,4.36,1664.105998,0.3748549378,,,layers range
32,4,8,3,4.77,35808.69065,0.4824846701,-13.16449113,model_polarization_250622_072001,"[1,4]"
32,4,16,2,5.83,1014.130554,0.4013036062,-2.113811336,model_polarization_250622_120424,mul range
128,4,16,4,5.45,888.4442542,0.3468031428,,,"[8, 64]"
128,4,64,3,3.57,1066.35849,0.3494573977,,,lmax
16,3,32,4,5.61,11145.66842,0.4700354831,,,"[1,4]"
96,3,8,1,5.23,1298.895631,0.4325885195,-0.6147148879,model_polarization_250622_071958,r_max
16,3,8,2,5.91,1717.947474,0.3851373484,-0.3164439502,model_polarization_250622_074000,"[2,6]"
96,3,64,4,4.42,1777.858231,0.3809853792,,,
16,3,64,2,4.85,1845.44913,0.4744703293,-0.6281182336,model_polarization_250622_143915,
96,3,16,4,2.61,1009.867437,0.3861303338,,,
128,3,32,3,2.49,1335.298092,0.3699505111,,,
96,2,16,2,4.69,991.130079,0.3161044964,-0.4032131137,model_polarization_250621_160011,
96,2,8,1,2.99,4903.209272,0.43020933,-0.9771563607,model_polarization_250622_065649,
64,2,64,1,2.01,3023.568625,0.398462543,-1.944437247,model_polarization_250622_081442,
16,2,8,4,5.43,3153.348014,0.4235115619,-1.637181207,model_polarization_250622_084624,
64,2,64,1,2.49,1733.060418,0.420158749,-0.02549518124,model_polarization_250622_084627,
96,2,8,3,4.97,1184.420528,0.3526782935,-0.4394020582,model_polarization_250622_125437,
64,2,16,4,4.77,948.2136183,0.3696081623,-3.033542509,model_polarization_250622_133616,
32,2,16,1,5.15,2324.281644,0.4229737212,-92278.09148,model_polarization_250622_173557,
128,2,64,1,4.13,7276.996283,0.3665529338,-1.47539747,model_polarization_250623_070649,
16,1,64,3,5.51,7698.578316,0.4515443471,-338.6800794,model_polarization_250621_151211,
16,1,16,1,4.12,3275.721595,0.4641377954,-15.58776816,model_polarization_250621_154441,
64,1,8,2,4.69,5626.186126,0.4036469222,-3.314547919,model_polarization_250621_162450,
64,1,8,1,4.57,10177.50729,0.4247446697,-3.372675847,model_polarization_250621_165947,
64,1,8,2,5.59,1218.365328,0.3456511775,0.1096580287,model_polarization_250622_084621,
16,1,8,2,5.61,3945.607041,0.4538202509,-57.36619679,model_polarization_250622_151203,
128,1,8,2,4.47,45126.06883,0.4144794532,-6.835422155,model_polarization_250622_152152,
128,1,32,3,2.56,373053.2629,0.4201853133,-0.6420261964,model_polarization_250622_153520,
16,1,32,2,2.31,1217.280116,0.4031099623,-1.218044994,model_polarization_250622_175442,
128,1,32,4,5.4,1416.013837,0.3819647522,0.007206516637,model_polarization_250623_074246,
32,1,64,3,5.84,2090.228225,0.4204757275,-0.2651410283,model_polarization_250623_074252,
32,3,64,2,6,1239.074495,0.4690504627,,,
32,4,16,3,6,1527.213328,0.4781334395,-0.6521494232,model_polarization_250706_145728,
64,3,16,3,6,943.990206,0.3964588753,-0.4192867945,model_polarization_250706_172845,
32,3,16,4,6,1196.065014,0.4146565887,0.5167513159,model_polarization_250706_190924,
96,3,64,2,6,962.3420156,0.376349274,0.1668910999,model_polarization_250706_222250,
,,,,,,,,,
64,3,32,2,6,3098.614755,1.315061687,-0.6618595017,model_polarization_250707_050607,
64,4,64,2,6,1327.447342,0.3926303653,-1.124791163,model_polarization_250707_050618,
64,4,64,3,6,,,,,
